iter	MultiClass
0	1.254924452
1	1.169034209
2	1.080690965
3	1.00158914
4	0.928740018
5	0.8626120466
6	0.8172708485
7	0.767799265
8	0.7294149257
9	0.6955619774
10	0.6562291489
11	0.6178055372
12	0.5957492514
13	0.5701261322
14	0.5491413644
15	0.5273016302
16	0.5129579857
17	0.4985233235
18	0.48388853
19	0.4675903594
20	0.4570926557
21	0.4458796995
22	0.4331055627
23	0.42097261
24	0.4093971195
25	0.4008713825
26	0.3895540469
27	0.3819401613
28	0.3746193509
29	0.3703428389
30	0.3616905177
31	0.3545028792
32	0.3486275454
33	0.3436519232
34	0.3388144024
35	0.3314859054
36	0.3276082389
37	0.3203415375
38	0.3139466944
39	0.3071449371
40	0.3027552235
41	0.2990894699
42	0.2972720385
43	0.2934828837
44	0.2921983303
45	0.28984648
46	0.285914409
47	0.2838145706
48	0.2788911611
49	0.2758296091
50	0.2708166415
51	0.2686078825
52	0.2673817488
53	0.2644484922
54	0.2616479452
55	0.25752641
56	0.254073254
57	0.2523855515
58	0.2492659054
59	0.2477293168
60	0.2448319919
61	0.2434219037
62	0.2411644949
63	0.2398446832
64	0.2366445223
65	0.2327085539
66	0.2299476655
67	0.2275190463
68	0.2245579648
69	0.2220808517
70	0.2209562233
71	0.2170809076
72	0.214667818
73	0.2118548761
74	0.2083365769
75	0.2066073265
76	0.2041442326
77	0.2030548934
78	0.2013442594
79	0.1998852279
80	0.1986605312
81	0.1978705366
82	0.1966697126
83	0.1951200206
84	0.1930168864
85	0.191421755
86	0.1906111544
87	0.1881897279
88	0.1876545169
89	0.1859752614
90	0.1843687375
91	0.1827341938
92	0.1820518115
93	0.1805669931
94	0.1789254291
95	0.1770041205
96	0.1759311361
97	0.1752363797
98	0.1735779539
99	0.1730965231
100	0.1715207164
101	0.1706493409
102	0.167743891
103	0.1665328138
104	0.1646974695
105	0.1633339901
106	0.162726066
107	0.1610717955
108	0.1592035462
109	0.15839949
110	0.1575867929
111	0.1565458753
112	0.1548975127
113	0.1536983109
114	0.1525717982
115	0.151709534
116	0.1506417146
117	0.1498958512
118	0.1486159823
119	0.1467736111
120	0.1458465465
121	0.144753735
122	0.1433567495
123	0.1422006768
124	0.1413977023
125	0.140350385
126	0.1395190744
127	0.1384519956
128	0.1375820923
129	0.1359543416
130	0.1350543224
131	0.1343895609
132	0.1334992497
133	0.1327723589
134	0.132135495
135	0.1314194227
136	0.1301538563
137	0.1295885143
138	0.1288624881
139	0.1284489829
140	0.1267002713
141	0.1257463025
142	0.1252298962
143	0.1247797978
144	0.1241008082
145	0.123327162
146	0.1225888892
147	0.1219345854
148	0.1213134424
149	0.1204184695
150	0.1194874836
151	0.1189119261
152	0.1185221166
153	0.1178375755
154	0.1169863837
155	0.1164213006
156	0.1156773314
157	0.1153751338
158	0.1148871464
159	0.1144345165
160	0.1136465349
161	0.1130866905
162	0.1126162823
163	0.1123772275
164	0.1111581342
165	0.1108507877
166	0.1102832163
167	0.1097170636
168	0.108690894
169	0.1081757426
170	0.10760314
171	0.106964925
172	0.1064191594
173	0.1060928735
174	0.1053429474
175	0.1048500066
176	0.1043334722
177	0.1039804341
178	0.1034622143
179	0.103024177
180	0.1028735482
181	0.1020286781
182	0.1018162435
183	0.1011897615
184	0.1004617548
185	0.1001042141
186	0.09973136923
187	0.09915075688
188	0.09879535481
189	0.09863875653
190	0.09827673862
191	0.0979996019
192	0.09755892415
193	0.0972747136
194	0.09660936847
195	0.0962167278
196	0.09565845493
197	0.09520195917
198	0.09478496025
199	0.09444811093
