iter	Passed	Remaining
0	11	2376
1	20	2000
2	28	1884
3	44	2160
4	54	2133
5	65	2132
6	76	2103
7	89	2147
8	99	2116
9	114	2169
10	129	2230
11	141	2220
12	149	2157
13	158	2107
14	166	2057
15	175	2016
16	183	1979
17	192	1945
18	200	1910
19	211	1904
20	224	1911
21	236	1915
22	248	1911
23	257	1890
24	266	1866
25	274	1838
26	283	1813
27	291	1789
28	299	1766
29	307	1744
30	316	1727
31	325	1707
32	333	1688
33	342	1670
34	351	1657
35	359	1639
36	367	1621
37	376	1604
38	384	1586
39	392	1569
40	400	1553
41	411	1549
42	429	1567
43	440	1561
44	449	1548
45	457	1533
46	466	1518
47	474	1503
48	482	1488
49	491	1473
50	499	1459
51	507	1444
52	516	1432
53	524	1418
54	532	1404
55	541	1391
56	549	1377
57	557	1364
58	565	1351
59	573	1338
60	581	1325
61	590	1313
62	598	1301
63	606	1289
64	615	1278
65	629	1277
66	642	1275
67	652	1265
68	661	1255
69	669	1243
70	678	1232
71	686	1220
72	694	1208
73	703	1197
74	711	1186
75	720	1175
76	728	1163
77	736	1152
78	747	1144
79	757	1136
80	768	1129
81	780	1122
82	790	1114
83	800	1105
84	811	1098
85	826	1095
86	838	1089
87	858	1092
88	870	1085
89	882	1078
90	896	1073
91	908	1066
92	918	1057
93	929	1048
94	964	1066
95	991	1073
96	1009	1072
97	1035	1077
98	1054	1076
99	1070	1070
100	1094	1072
101	1111	1068
102	1134	1068
103	1155	1066
104	1179	1067
105	1204	1068
106	1220	1060
107	1245	1060
108	1263	1055
109	1279	1046
110	1299	1041
111	1317	1035
112	1338	1030
113	1358	1024
114	1377	1018
115	1399	1013
116	1416	1004
117	1434	996
118	1452	988
119	1475	983
120	1491	973
121	1512	966
122	1531	958
123	1551	950
124	1569	941
125	1592	935
126	1612	927
127	1637	921
128	1657	912
129	1680	905
130	1700	895
131	1723	887
132	1742	878
133	1766	870
134	1788	860
135	1805	849
136	1821	837
137	1832	823
138	1841	808
139	1850	792
140	1863	779
141	1877	767
142	1889	753
143	1899	738
144	1908	723
145	1916	708
146	1925	694
147	1933	679
148	1941	664
149	1950	650
150	1958	635
151	1967	621
152	1975	606
153	1984	592
154	1992	578
155	2000	564
156	2008	550
157	2016	536
158	2025	522
159	2033	508
160	2041	494
161	2049	480
162	2057	467
163	2075	455
164	2091	443
165	2100	430
166	2109	416
167	2118	403
168	2128	390
169	2136	377
170	2145	363
171	2153	350
172	2161	337
173	2170	324
174	2178	311
175	2186	298
176	2194	285
177	2203	272
178	2211	259
179	2219	246
180	2227	233
181	2241	221
182	2253	209
183	2264	196
184	2279	184
185	2297	172
186	2312	160
187	2323	148
188	2334	135
189	2344	123
190	2353	110
191	2362	98
192	2372	86
193	2384	73
194	2395	61
195	2407	49
196	2418	36
197	2428	24
198	2441	12
199	2451	0
