iter	MultiClass
0	1.243705003
1	1.134057787
2	1.048736275
3	0.9635284487
4	0.8910071251
5	0.8263930705
6	0.7839665436
7	0.7357642912
8	0.6871656262
9	0.6528455859
10	0.6184121156
11	0.5935664739
12	0.5723266477
13	0.5506580601
14	0.527997043
15	0.5048450626
16	0.4884184532
17	0.4726239994
18	0.4579538251
19	0.4414906231
20	0.4289672647
21	0.4184253825
22	0.4054981831
23	0.3976845606
24	0.3882616308
25	0.3803018031
26	0.3687904219
27	0.362761304
28	0.3547246696
29	0.3507141781
30	0.3424945675
31	0.3332340756
32	0.327343048
33	0.3225109705
34	0.3198399635
35	0.3131583112
36	0.3094258917
37	0.3014942636
38	0.2957041492
39	0.2891909756
40	0.2861013398
41	0.2824402272
42	0.2805575214
43	0.2774559377
44	0.2758210038
45	0.273613916
46	0.2695920647
47	0.2678623128
48	0.2630939868
49	0.2607851963
50	0.2564474954
51	0.2533926919
52	0.2521827482
53	0.2495832633
54	0.2468145078
55	0.2429251353
56	0.2397619772
57	0.2380423255
58	0.2349472049
59	0.2337509521
60	0.2308968287
61	0.2296326409
62	0.2271903575
63	0.2259579804
64	0.2228480838
65	0.2213222791
66	0.2185534853
67	0.2149127158
68	0.2105434578
69	0.2062030241
70	0.2053918635
71	0.2026221777
72	0.2003834807
73	0.1974084127
74	0.1946255972
75	0.1917150115
76	0.1907200317
77	0.1888929056
78	0.186244838
79	0.1856754568
80	0.1840513448
81	0.1836306765
82	0.1819159539
83	0.1811685458
84	0.1791531632
85	0.1777334173
86	0.1770156106
87	0.1757265316
88	0.1746624815
89	0.1731623355
90	0.172158221
91	0.1701831455
92	0.169238425
93	0.1680622854
94	0.1660497196
95	0.163634175
96	0.1625490905
97	0.1618505688
98	0.160462846
99	0.1593465697
100	0.1584646952
101	0.1574391044
102	0.1554620456
103	0.1542579108
104	0.1529916906
105	0.1515667697
106	0.1508767636
107	0.1493086487
108	0.1479193853
109	0.1470286212
110	0.146214219
111	0.1452032737
112	0.1436352936
113	0.1425019911
114	0.1408549604
115	0.1399385732
116	0.1389408168
117	0.1387170827
118	0.1377550407
119	0.1359390892
120	0.1342460656
121	0.133585686
122	0.1327072925
123	0.1315559809
124	0.1307470863
125	0.1300699334
126	0.1292679616
127	0.128434659
128	0.1276333397
129	0.1267581139
130	0.1256690474
131	0.1247474471
132	0.12333507
133	0.1223576499
134	0.1215464842
135	0.1209126434
136	0.1198417433
137	0.1195670692
138	0.1184423503
139	0.1180824278
140	0.1174863745
141	0.1165367796
142	0.115921803
143	0.1152369192
144	0.1140363469
145	0.1132729716
146	0.1126658148
147	0.1120422034
148	0.1106157368
149	0.1100788945
150	0.1092976315
151	0.1088732187
152	0.108504864
153	0.1073547422
154	0.1067190494
155	0.1062052373
156	0.1054709363
157	0.1051636083
158	0.1042274417
159	0.1039316792
160	0.1034416805
161	0.1029151164
162	0.1024153724
163	0.1019271289
164	0.1015150097
165	0.101082788
166	0.1006935566
167	0.1001526052
168	0.09929837128
169	0.09893679552
170	0.09801640702
171	0.09755397841
172	0.09709442874
173	0.09681893938
174	0.09610927407
175	0.09545923702
176	0.09490232434
177	0.09449351104
178	0.09397123074
179	0.09348922984
180	0.09316577254
181	0.09265565179
182	0.09245758523
183	0.09184406031
184	0.09139645451
185	0.09096341422
186	0.09067434919
187	0.09006492565
188	0.0895070982
189	0.08893451354
190	0.08869523458
191	0.0884277198
192	0.0880955473
193	0.08783930477
194	0.08723175757
195	0.08681416584
196	0.08631628138
197	0.08579918153
198	0.08549625032
199	0.08511613406
200	0.08477335366
201	0.08428389501
202	0.08405508454
203	0.08380683843
204	0.0836072141
205	0.08320890791
206	0.08291855322
207	0.08248513504
208	0.08200678678
209	0.08177018458
210	0.08145998401
211	0.0811400136
212	0.08062776617
213	0.08040239956
214	0.07992427503
215	0.07955087998
216	0.07912483711
217	0.07877264273
218	0.07839020526
219	0.07791263498
220	0.07771602155
221	0.07753548766
222	0.07723348623
223	0.07692809618
224	0.07633129049
225	0.07586528593
226	0.07574650797
227	0.07556939405
228	0.07524404758
229	0.07476909142
230	0.07454388862
231	0.07425120159
232	0.07385922316
233	0.07352179895
234	0.07339183019
235	0.07313880932
236	0.07286834282
237	0.07257746074
238	0.07235762662
239	0.0719131156
240	0.07158669127
241	0.07121001299
242	0.07085826383
243	0.07062095506
244	0.07006862771
245	0.06996339052
