iter	Passed	Remaining
0	13	13051
1	22	11075
2	31	10326
3	44	10973
4	52	10458
5	65	10862
6	77	10947
7	86	10695
8	96	10661
9	108	10790
10	118	10698
11	130	10775
12	143	10903
13	153	10778
14	162	10672
15	174	10708
16	193	11183
17	219	11974
18	237	12282
19	252	12380
20	262	12219
21	275	12229
22	291	12364
23	301	12269
24	311	12164
25	321	12061
26	330	11918
27	345	11980
28	358	12013
29	369	11950
30	379	11858
31	389	11788
32	415	12170
33	430	12245
34	440	12153
35	451	12101
36	464	12102
37	476	12064
38	487	12013
39	500	12000
40	509	11917
41	518	11822
42	530	11801
43	542	11787
44	556	11813
45	567	11772
46	576	11698
47	585	11621
48	601	11677
49	639	12151
50	666	12407
51	683	12467
52	701	12530
53	726	12733
54	737	12664
55	749	12639
56	762	12613
57	776	12606
58	787	12562
59	803	12588
60	814	12535
61	824	12468
62	833	12395
63	854	12491
64	868	12496
65	895	12674
66	918	12797
67	929	12734
68	943	12728
69	956	12713
70	970	12698
71	980	12640
72	990	12578
73	999	12505
74	1011	12473
75	1025	12462
76	1036	12420
77	1053	12454
78	1073	12519
79	1089	12528
80	1099	12470
81	1110	12432
82	1120	12382
83	1136	12392
84	1148	12358
85	1164	12375
86	1177	12360
87	1190	12337
88	1203	12322
89	1212	12259
90	1221	12197
91	1234	12183
92	1251	12205
93	1274	12281
94	1290	12290
95	1305	12295
96	1321	12298
97	1334	12287
98	1354	12323
99	1371	12344
100	1390	12374
101	1408	12397
102	1426	12425
103	1456	12546
104	1486	12667
105	1511	12751
106	1533	12797
107	1564	12918
108	1585	12961
109	1612	13044
110	1637	13116
111	1669	13237
112	1684	13226
113	1705	13252
114	1718	13221
115	1750	13338
116	1771	13371
117	1786	13356
118	1802	13345
119	1815	13314
120	1825	13258
121	1834	13200
122	1843	13145
123	1860	13143
124	1883	13187
125	1897	13164
126	1914	13162
127	1931	13155
128	1950	13167
129	1967	13167
130	1980	13134
131	1995	13122
132	2012	13120
133	2026	13099
134	2042	13084
135	2055	13057
136	2078	13096
137	2113	13201
138	2136	13231
139	2154	13233
140	2176	13258
141	2204	13321
142	2229	13362
143	2256	13410
144	2283	13464
145	2306	13493
146	2330	13526
147	2356	13566
148	2380	13594
149	2401	13608
150	2423	13628
151	2438	13606
152	2454	13586
153	2467	13555
154	2476	13503
155	2489	13470
156	2500	13423
157	2515	13403
158	2524	13353
159	2548	13381
160	2566	13374
161	2588	13388
162	2602	13363
163	2618	13348
164	2635	13335
165	2648	13307
166	2668	13311
167	2693	13336
168	2716	13358
169	2744	13400
170	2770	13432
171	2791	13436
172	2813	13448
173	2843	13500
174	2869	13528
175	2895	13556
176	2915	13555
177	2935	13556
178	2956	13561
179	2966	13514
180	2986	13515
181	3002	13496
182	3020	13483
183	3038	13477
184	3056	13465
185	3072	13447
186	3091	13442
187	3107	13423
188	3118	13383
189	3141	13392
190	3157	13372
191	3168	13335
192	3183	13310
193	3213	13349
194	3245	13396
195	3271	13419
196	3287	13398
197	3302	13375
198	3314	13342
199	3338	13353
200	3349	13316
201	3361	13279
202	3373	13243
203	3388	13222
204	3404	13203
205	3426	13208
206	3453	13230
207	3477	13242
208	3494	13225
209	3504	13184
210	3521	13166
211	3537	13149
212	3552	13125
213	3569	13112
214	3588	13103
215	3618	13133
216	3653	13184
217	3673	13176
218	3686	13148
219	3700	13119
220	3712	13087
221	3724	13050
222	3736	13017
223	3751	12997
224	3767	12975
225	3778	12939
226	3791	12912
227	3805	12883
228	3820	12861
229	3836	12844
230	3854	12833
231	3876	12831
232	3894	12819
233	3906	12787
234	3919	12759
235	3931	12727
236	3950	12718
237	3967	12703
238	3980	12674
239	3990	12636
240	4004	12611
241	4020	12593
242	4030	12556
243	4042	12524
244	4059	12510
245	4083	12514
246	4099	12497
247	4109	12460
248	4121	12430
249	4138	12416
250	4159	12413
251	4177	12401
252	4193	12380
253	4212	12370
254	4224	12343
255	4240	12324
256	4251	12289
257	4274	12293
258	4295	12288
259	4311	12272
260	4336	12277
261	4355	12267
262	4374	12259
263	4399	12265
264	4428	12283
265	4443	12261
266	4457	12236
267	4469	12208
268	4507	12247
269	4524	12231
270	4538	12209
271	4558	12199
272	4580	12197
273	4595	12175
274	4606	12145
275	4621	12122
276	4634	12096
277	4644	12063
278	4655	12031
279	4670	12009
280	4682	11981
281	4701	11969
282	4717	11952
283	4742	11957
284	4756	11933
285	4772	11914
286	4785	11888
287	4800	11868
288	4812	11839
289	4824	11812
290	4839	11790
291	4851	11762
292	4865	11740
293	4877	11712
294	4887	11681
295	4901	11657
296	4913	11629
297	4935	11627
298	4960	11629
299	4978	11616
300	4989	11586
301	5006	11570
302	5017	11542
303	5032	11522
304	5051	11511
305	5074	11508
306	5091	11493
307	5107	11476
308	5119	11449
309	5131	11421
310	5156	11423
311	5186	11436
312	5207	11428
313	5222	11410
314	5238	11390
315	5257	11379
316	5271	11356
317	5287	11339
318	5303	11322
319	5320	11306
320	5334	11282
321	5348	11261
322	5369	11254
323	5390	11246
324	5401	11219
325	5415	11197
326	5428	11171
327	5440	11145
328	5456	11128
329	5467	11100
330	5479	11074
331	5493	11052
332	5507	11030
333	5523	11013
334	5539	10995
335	5550	10968
336	5564	10947
337	5585	10938
338	5607	10934
339	5621	10912
340	5636	10892
341	5653	10877
342	5669	10860
343	5680	10833
344	5693	10809
345	5715	10802
346	5730	10784
347	5744	10762
348	5761	10746
349	5771	10718
350	5782	10692
351	5817	10709
352	5835	10695
353	5848	10673
354	5868	10662
355	5882	10641
356	5894	10616
357	5905	10590
358	5917	10566
359	5931	10544
360	5946	10525
361	5958	10501
362	5969	10474
363	5981	10451
364	5995	10431
365	6011	10413
366	6032	10404
367	6058	10405
368	6073	10386
369	6088	10367
370	6101	10344
371	6116	10325
372	6128	10301
373	6142	10281
374	6154	10258
375	6165	10231
376	6175	10205
377	6190	10187
378	6208	10172
379	6222	10152
380	6236	10131
381	6251	10113
382	6271	10103
383	6296	10100
384	6312	10084
385	6323	10058
386	6340	10042
387	6355	10024
388	6372	10009
389	6389	9994
390	6404	9975
391	6434	9979
392	6462	9981
393	6486	9976
394	6500	9956
395	6517	9941
396	6534	9925
397	6548	9904
398	6563	9886
399	6579	9869
400	6593	9849
401	6603	9823
402	6618	9804
403	6635	9788
404	6646	9765
405	6657	9740
406	6675	9725
407	6699	9721
408	6717	9706
409	6734	9690
410	6746	9667
411	6756	9643
412	6768	9619
413	6781	9598
414	6797	9581
415	6809	9559
416	6824	9541
417	6836	9518
418	6846	9493
419	6857	9469
420	6872	9451
421	6895	9445
422	6918	9437
423	6932	9418
424	6949	9402
425	6965	9384
426	6975	9360
427	6986	9336
428	7003	9321
429	7017	9301
430	7029	9280
431	7048	9267
432	7062	9247
433	7072	9223
434	7087	9205
435	7105	9191
436	7130	9186
437	7147	9171
438	7164	9155
439	7176	9133
440	7193	9118
441	7206	9097
442	7220	9078
443	7233	9057
444	7247	9039
445	7260	9018
446	7270	8994
447	7286	8977
448	7298	8956
449	7315	8941
450	7339	8934
451	7359	8922
452	7370	8900
453	7383	8879
454	7398	8861
455	7415	8845
456	7427	8824
457	7438	8802
458	7449	8779
459	7462	8759
460	7476	8741
461	7493	8725
462	7512	8712
463	7527	8696
464	7552	8689
465	7570	8674
466	7586	8658
467	7597	8636
468	7607	8613
469	7621	8594
470	7633	8573
471	7657	8566
472	7676	8552
473	7690	8534
474	7701	8511
475	7711	8488
476	7726	8471
477	7754	8468
478	7774	8455
479	7787	8436
480	7804	8420
481	7819	8403
482	7830	8382
483	7844	8363
484	7857	8343
485	7868	8321
486	7878	8298
487	7893	8281
488	7910	8266
489	7924	8247
490	7952	8243
491	7971	8230
492	7986	8213
493	8001	8196
494	8013	8175
495	8023	8153
496	8037	8134
497	8049	8113
498	8061	8094
499	8073	8073
500	8086	8054
501	8099	8035
502	8111	8015
503	8122	7993
504	8137	7976
505	8159	7965
506	8181	7955
507	8198	7940
508	8211	7920
509	8222	7900
510	8233	7878
